station,longitude,latitude
Zhangzhi,113.0949861,36.18655
Linfen,111.518825,36.07985
Yangquan,113.56226666666667,37.8607
Jinzhou,121.1185,41.05882
Wuhu,118.37395,31.36785
Maanshan,118.52462,31.69678
Jiujiang,115.98975714285714,29.673300000000005
Luoyang,112.41968333333334,34.65716666666667
Anyang,114.37566666666665,36.086
Kaifeng,114.3336,34.79076666666667
Jiaozuo,113.2242,35.21613333333333
Pingdingshan,113.26013333333331,33.73246666666667
Sanmenxia,111.1754,34.7856
Yichang,111.31052,30.70758
Jingzhou,112.2502,30.32483333333333
Yueyang,113.15066666666664,29.403616666666665
Changde,111.70665,29.05795
Zhangjiajie,110.50303333333332,29.20593333333333
Mianyang,104.73285,31.47535
Yibin,104.62036666666668,28.77513833333333
Luzhou,105.43465,28.9
Zigong,104.76195,29.35195
Deyang,104.39235,31.1204
Nanchong,106.08621666666666,30.803066666666663
Xianyang,108.6997,34.3399
Tongchuan,108.98766666666666,34.949533333333335
Yanan,109.48803333333336,36.5967
Baoji,107.18958750000002,34.354125
Weinan,109.46503333333334,34.4985
Shizuishan,106.547775,39.047425
Zhangqiu,117.541,36.71
Jimo,120.47,36.39
Jiaonan,120.005,35.878
Jiaozhou,120.014,36.253
Laixi,120.515,36.885
Pingdu,119.952,36.792
Penglai,120.76,37.817
Zhaoyuan,120.399,37.374
Laizhou,119.95,37.1785
Rushan,121.531,36.913
Wujiang,120.643,31.165666666666667
Taicang,121.14,31.422
Jurong,119.146,31.955
Jiangyin,120.269,31.916333333333338
Yixing,119.818,31.354
Jintan,119.579,31.744
Liyang,119.44899999999998,31.3585
Linan,119.7183,30.2366
Fuyang,117.2097,31.93403333333333
Yiwu,120.0655,29.3195
Xinyang,114.061525,32.13015
Zhoukou,114.65715,33.621500000000005
Jincheng,112.84638333333332,35.50058333333333
Shuozhou,112.4312,39.34474
Jinzhong,112.732,37.707233333333335
Yuncheng,111.007025,35.055325
Xinzhou,112.72473333333336,38.45443333333333
Lu:liang,111.1406,37.5211
Wuhai,106.80796666666669,39.67533333333333
Bayannaoer,107.50735,40.8384
Wulanchabu,113.1306,40.9923
Alashanmeng,105.69966666666666,38.84296666666666
Chaoyang,120.42083333333336,41.59093333333334
Bangbu,117.35681666666667,32.92925
Huainan,116.8364,32.66645
Huaibei,116.7973,33.940266666666666
Tongling,117.80895,30.929616666666664
Anqing,117.02473333333334,30.546900000000004
Huangshan,118.25546666666666,29.903033333333337
Chuzhou,118.31653333333334,32.3
Liuan,116.514725,31.76245
Chizhou,117.48355,30.6578
Xuancheng,118.73806666666668,30.954
Jingdezhen,117.2242,29.30422
Yingtan,117.01344,28.20856
Shangrao,117.9583,28.448825
Hebi,114.25113333333331,35.794533333333334
Xinxiang,113.86766666666666,35.294999999999995
Puyang,115.057,35.76573333333334
Xuchang,113.81185,34.0035
Luohe,114.0268,33.570325000000004
Nanyang,112.5317,32.990125000000006
Shangqiu,115.6547,34.421533333333336
Zhumadian,114.00903333333332,32.98930000000001
Huangshi,115.015125,30.213050000000003
Shiyan,110.8579,32.563675
Xiangfan,112.171825,32.07015
Ezhou,114.8666,30.39303333333333
Jingmen,112.20646666666669,31.025366666666667
Xiaogan,113.92865,30.918
Huanggang,114.9028,30.4742
Xianning,114.313325,29.840425
Suizhou,113.37996666666668,31.71636666666667
Enshizhou,109.4864,30.2904
Yiyang,112.34146666666668,28.58183333333333
Xiangxizhou,109.71415,28.2922
Guangyuan,105.8491,32.437375
Suining,105.69723333333332,30.57433333333333
Neijiang,105.052675,29.588475
Leshan,103.7602,29.5738
Meishan,103.8701,30.069
Guangan,106.63206666666667,30.459666666666667
Dazhou,107.50338,31.22138
Yaan,103.0109,29.9834
Ziyang,104.6405,30.133
Hanzhong,107.01043333333332,33.07223333333334
Ankang,109.02213333333331,32.68973333333333
Shangluo,109.9154,33.8715
Baiyin,104.1731,36.54695
Tianshui,105.79475,34.573350000000005
Pingliang,106.68655,35.53775
Qingyang,107.65336666666668,35.65306666666667
Dingxi,104.61985,35.58445
Linxiazhou,103.21015,35.6018
Wuzhong,106.19925,37.97835
Zhongwei,105.18855,37.258700000000005
Guyuan,106.24953333333332,36.055
